participantId,angle,response,feedback,trial,correct,phase
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,1,1,11,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,0,12,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,1,1,13,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,0,14,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,1,0,15,0,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,0,16,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,0,17,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,1,1,18,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,0,19,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,1,1,20,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,1,1,21,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,0,22,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,0,23,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,1,0,24,0,practice
08118FE4A7504A34B93DEC7B88ED4EB6,7.png,1,NA,25,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,7.png,1,NA,26,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,63.png,0,NA,27,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,63.png,0,NA,28,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,0,NA,29,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,0,NA,30,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,14.png,1,NA,31,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,14.png,1,NA,32,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,35.png,0,NA,33,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,35.png,1,NA,34,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,NA,35,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,NA,36,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,70.png,0,NA,37,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,70.png,0,NA,38,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,77.png,0,NA,39,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,77.png,0,NA,40,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,49.png,0,NA,41,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,49.png,0,NA,42,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,21.png,1,NA,43,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,21.png,1,NA,44,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,84.png,0,NA,45,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,84.png,0,NA,46,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,28.png,1,NA,47,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,28.png,1,NA,48,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,56.png,0,0,1,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,1,1,2,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,1,0,3,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,1,0,4,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,0,0,5,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,1,1,6,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,1,1,7,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,1,0,8,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,1,0,9,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,0,0,10,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,1,1,11,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,NA,1,12,NA,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,1,0,13,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,0,1,14,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,1,0,15,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,0,0,16,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,1,0,17,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,0,0,18,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,1,1,19,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,0,0,20,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,1,0,21,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,56.png,0,0,22,1,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,0,1,23,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,0,1,24,0,practice
0835DE564D654FDBBB0C74A252B0AEEC,42.png,0,NA,25,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,42.png,1,NA,26,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,63.png,1,NA,27,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,63.png,0,NA,28,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,28.png,1,NA,29,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,28.png,0,NA,30,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,77.png,1,NA,31,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,77.png,1,NA,32,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,14.png,1,NA,33,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,14.png,0,NA,34,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,70.png,0,NA,35,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,70.png,0,NA,36,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,56.png,1,NA,37,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,56.png,1,NA,38,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,84.png,0,NA,39,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,84.png,0,NA,40,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,49.png,0,NA,41,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,49.png,0,NA,42,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,7.png,1,NA,43,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,7.png,0,NA,44,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,35.png,1,NA,45,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,35.png,0,NA,46,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,21.png,1,NA,47,NA,test
0835DE564D654FDBBB0C74A252B0AEEC,21.png,0,NA,48,NA,test
089D1D1E3AB24456A15FE65A0F644445,56.png,NA,0,1,NA,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,1,2,1,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,1,3,1,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,4,0,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,0,5,0,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,6,0,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,1,7,1,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,8,0,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,9,0,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,1,10,1,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,11,0,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,1,12,1,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,13,0,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,1,14,1,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,15,0,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,0,16,0,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,1,17,1,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,1,18,1,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,19,0,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,20,0,practice
089D1D1E3AB24456A15FE65A0F644445,42.png,1,1,21,1,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,22,0,practice
089D1D1E3AB24456A15FE65A0F644445,56.png,1,0,23,0,practice
